"labid","age","error","depth","cc"
"Core top_39893",-54,1,0,0
"Presettlement_paleon",43,50,34.5,0
"Radiocarbon_39895",660,40,55.5,1
"Radiocarbon_39896",918,38,70.5,1
"Radiocarbon_39897",870,35,81,1
"Radiocarbon_39898",1340,45,86.5,1
"Radiocarbon_39899",1380,35,99,1
"Radiocarbon_39900",1320,30,107.5,1
"Radiocarbon_39901",1310,35,111,1
"Radiocarbon_39902",1820,47,130.5,1
"Radiocarbon_39903",2270,40,159,1
"Radiocarbon_39904",2490,40,179,1
"Radiocarbon_39905",2893,57,200.5,1
"Radiocarbon_39906",3820,35,253,1
