"labid","age","error","depth","cc"
"Core top_38312",-48,1,0,0
"Radiocarbon_38303",2915,55,121,1
"Radiocarbon_38304",3170,55,171,1
"Radiocarbon_38305",3395,55,231,1
"Radiocarbon_38306",5605,85,381,1
"Radiocarbon_38291",4655,60,419.5,1
"Radiocarbon_38298",5400,50,421,1
"Radiocarbon_38307",5505,95,431,1
"Radiocarbon_38308",6555,70,543,1
"Radiocarbon_38309",8125,70,603,1
"Radiocarbon_38310",8440,70,620,1
"Radiocarbon_38292",10810,95,660,1
"Radiocarbon_38299",10710,50,660,1
"Radiocarbon_38311",16230,110,771,1
"Radiocarbon_38293",10175,80,811,1
"Radiocarbon_38301",16180,100,811,1
"Radiocarbon_38294",10300,140,841,1
"Radiocarbon_38302",13000,40,841,1
"Radiocarbon_38295",10305,70,846,1
"Radiocarbon_38296",10510,120,871.5,1
"Radiocarbon_38297",10820,100,916,1
"Radiocarbon_38300",12840,50,916,1
