"labid","age","error","depth","cc"
"Annual laminations (v",608,10,2,0
"Annual laminations (v",1195,10,42,0
"Annual laminations (v",1540,10,62,0
"Annual laminations (v",1902,10,82,0
"Annual laminations (v",2215,10,102,0
"Annual laminations (v",2712,10,127,0
"Annual laminations (v",3151,10,147,0
"Annual laminations (v",3568,10,167,0
"Annual laminations (v",4024,10,187,0
"Annual laminations (v",4502,10,208,0
"Annual laminations (v",4918,10,227,0
"Annual laminations (v",5422,10,248,0
"Annual laminations (v",5913,10,268,0
"Annual laminations (v",6383,10,288,0
"Annual laminations (v",6779,10,308,0
"Annual laminations (v",7099,10,328,0
"Annual laminations (v",7405,10,348,0
"Annual laminations (v",7762,10,372,0
"Annual laminations (v",8121,10,392,0
"Annual laminations (v",8521,10,412,0
"Annual laminations (v",8891,10,432,0
"Annual laminations (v",9272,10,451,0
"Annual laminations (v",9386,10,456,0
"Annual laminations (v",9463,10,459,0
"Annual laminations (v",9531,10,462,0
"Annual laminations (v",9597,10,465,0
"Annual laminations (v",9642,10,467,0
"Annual laminations (v",9725,10,470,0
"Annual laminations (v",9775,10,472,0
"Annual laminations (v",9847,10,475,0
"Annual laminations (v",9901,10,478,0
"Annual laminations (v",9913,10,479,0
"Annual laminations (v",9957,10,480,0
"Annual laminations (v",10000,10,482,0
"Annual laminations (v",10017,10,483,0
"Annual laminations (v",10109,10,487,0
"Annual laminations (v",10450,10,502,0
