"labid","age","error","depth","cc"
"Annual laminations (v",-14,1,11,0
"Annual laminations (v",-10,1,15,0
"Annual laminations (v",-6,1,19,0
"Annual laminations (v",0,1,25,0
"Annual laminations (v",4,1,29,0
"Annual laminations (v",10,1,35,0
"Annual laminations (v",16,1,41,0
"Annual laminations (v",20,1,45,0
"Annual laminations (v",26,1,51,0
"Annual laminations (v",37,1,62,0
"Annual laminations (v",45,1,70,0
"Annual laminations (v",49,1,74,0
"Annual laminations (v",55,1,80,0
"Annual laminations (v",61,1,86,0
"Annual laminations (v",65,1,90,0
"Annual laminations (v",69,1,94,0
"Annual laminations (v",75,1,100,0
"Annual laminations (v",95,1,120,0
"Annual laminations (v",105,1,130,0
"Annual laminations (v",115,1,140,0
"Annual laminations (v",125,1,150,0
"Annual laminations (v",135,1,160,0
"Annual laminations (v",145,1,170,0
"Annual laminations (v",155,1,180,0
"Annual laminations (v",165,1,190,0
"Annual laminations (v",175,1,200,0
"Annual laminations (v",183,3,208,0
"Annual laminations (v",193,3,218,0
"Annual laminations (v",203,3,228,0
"Annual laminations (v",218,3,243,0
"Annual laminations (v",223,3,248,0
