"labid","age","error","depth","cc"
"Lead-210_4972",-33,2,0.2,0
"Lead-210_4973",-28,2,3.2,0
"Lead-210_4974",-21,2,5.75,0
"Lead-210_4975",-16,2,7.75,0
"Lead-210_4976",-9,3,9.75,0
"Lead-210_4977",-4,3,11.25,0
"Lead-210_4978",3,3,12.75,0
"Lead-210_4979",10,4,14.25,0
"Lead-210_4980",16,4,15.25,0
"Lead-210_4981",27,5,17.25,0
"Lead-210_4982",34,5,18.75,0
"Lead-210_4983",39,6,19.75,0
"Lead-210_4984",44,6,20.75,0
"Presettlement_paleon",60,50,20.75,0
"Lead-210_4985",56,8,23.25,0
"Lead-210_4986",66,9,26.25,0
