"labid","age","error","depth","cc"
"Core top_37405",-50,1,0,0
"Radiocarbon_37410",340,40,83.7,1
"Radiocarbon_37411",780,50,111,1
"Radiocarbon_37412",1700,120,230,1
"Radiocarbon_37413",1880,40,252,1
"Radiocarbon_37414",1850,60,256,1
"Radiocarbon_37415",2160,50,292,1
"Radiocarbon_37416",2490,100,311.5,1
"Radiocarbon_37417",2680,90,328.6,1
"Radiocarbon_37418",2920,90,348,1
"Radiocarbon_37419",4100,90,456,1
"Radiocarbon_37406",4290,40,486,1
"Radiocarbon_37407",4510,100,486,1
"Radiocarbon_37420",4840,210,532,1
"Radiocarbon_37421",5280,40,572.5,1
"Radiocarbon_37422",5830,40,641.8,1
"Radiocarbon_37423",6170,50,653,1
"Radiocarbon_37424",6890,90,698,1
"Radiocarbon_37425",7880,70,758,1
"Radiocarbon_37426",8160,50,766,1
"Radiocarbon_37427",7210,60,788,1
"Radiocarbon_37428",7240,60,790,1
"Radiocarbon_37429",8580,130,883,1
"Radiocarbon_37430",8750,80,908,1
"Radiocarbon_37431",9470,250,922,1
"Radiocarbon_37432",9420,140,930,1
"Radiocarbon_37433",9620,190,933,1
"Radiocarbon_37408",9860,50,946,1
"Radiocarbon_37409",9790,210,946,1
"Radiocarbon_37434",15490,70,980.4,1
"Radiocarbon_37435",10430,40,1019.6,1
"Radiocarbon_37436",41190,870,1052.1,1
"Radiocarbon_37437",9870,60,1090.3,1
"Radiocarbon_37438",10010,40,1129.3,1
"Radiocarbon_37439",9960,50,1142.4,1
"Radiocarbon_37440",35290,910,1189.5,1
