"datasetID","chronologyID","site","type","age","age.sd","depth","thick","agemodel"
29,21,"Lake Allie","Core top",-15,15,0,NA,"linear interpolation"
29,21,"Lake Allie","Biostratigraphic, pollen",100,50,35,10,"linear interpolation"
30,22,"Almora Lake","Biostratigraphic, pollen",3800,250,310,19,"linear interpolation"
30,22,"Almora Lake","Biostratigraphic, pollen",6400,250,412,10,"linear interpolation"
30,22,"Almora Lake","Biostratigraphic, pollen",8200,250,435,10,"linear interpolation"
30,22,"Almora Lake","Biostratigraphic, pollen",9600,250,475,10,"linear interpolation"
30,22,"Almora Lake","Biostratigraphic, pollen",10300,250,505,16,"linear interpolation"
30,22,"Almora Lake","Biostratigraphic, pollen",11000,250,540,10,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",2,12,10,2.2,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",20,4,20,1.71,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",30,4,30,2,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",40,4,40,1.72,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",50,4,50,1.47,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",60,4,60,1.99,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",70,4,70,1.24,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",80,4,80,1.65,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",90,4,90,1.27,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",100,4,100,1.3,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",110,4,110,0.86,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",120,4,120,0.7,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",140,4,140,1.06,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",150,4,150,0.94,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",170,4,170,0.95,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",180,4,180,1.08,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",200,4,200,1.26,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",210,4,210,1.08,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",250,4,250,0.87,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",280,4,280,0.89,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",310,4,310,0.8,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",350,4,350,0.82,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",380,4,380,0.71,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",390,4,390,0.76,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",410,4,410,1.08,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",430,4,430,0.83,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",450,4,450,0.92,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",470,4,470,1,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",510,4,510,0.89,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",530,4,530,0.85,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",550,4,550,0.97,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",590,4,590,0.79,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",630,4,630,0.71,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",670,304,670,0.89,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",690,4,690,0.77,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",710,4,710,0.64,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",750,4,750,0.57,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",790,4,790,0.78,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",830,4,830,0.76,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",860,4,860,0.65,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",900,4,900,0.91,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",960,4,960,1.04,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1000,4,1000,0.69,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1020,4,1020,1.26,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1040,4,1040,1.41,"linear interpolation"
3131,1408,"Hell's Kitchen Lake","Annual laminations (varves)",1100,4,1100,1.38,"linear interpolation"
