"ID","longitude","latitude","altitude","mean.tps.age.2d","sd.tps.age.2d","lower.95.tps.2d","upper.95.tps.2d","mean.tps.age.3d","sd.tps.age.3d","lower.95.tps.3d","upper.95.tps.3d"
11,893.83754,-417.067548,183,10710.2724727869,238.163036538437,10258.7971981911,11138.3374901922,10725.9762675946,159.111011976330,10407.3550398698,11013.4924253385
16,843.373316,239.708818,176.4,10988.0324647882,140.905097591184,10691.6440586640,11216.4396873532,11095.4355506812,87.370646011593,10927.9719196605,11264.5878879032
20,1651.117188,853.401214,68.4,11656.1981110818,233.187603625184,11295.9997835769,12123.8292673903,11576.8535790700,97.4795292055735,11382.8936273188,11757.3793718949
21,1208.778691,740.998791,193.8,11644.6223541673,271.101070050901,11229.0322161712,12142.7350490775,11302.4266773142,138.091559755736,11062.4988291164,11588.8223097950
24,1683.545074,546.776037,45.6,11614.4800392381,211.130513519602,11259.3163695266,11989.231236358,11553.9678014260,84.7161783449202,11382.7791196336,11712.4149510434
27,1348.41865,636.967747,100.2,11648.1672349099,259.130292678666,11233.1639336686,12095.0342156552,11507.4296267635,103.498762631215,11315.2172242763,11708.0345791596
28,1151.990583,952.825122,175.2,11575.4239235600,274.718607663384,11084.3641772322,12137.9182885371,11338.0637411655,126.849289809377,11096.0344985001,11581.8587442702
31,1230.215535,867.223736,183,11631.0707089335,271.302627779850,11201.4213064530,12164.4385248525,11333.1005035390,130.020732195877,11100.5664148541,11597.2365843261
33,1153.765293,224.467461,201,10913.0081771288,203.057061800369,10518.0529241334,11225.5350297184,11105.7111569260,111.314794220561,10901.9337996509,11329.0898743647
35,1126.237601,942.444699,182.4,11570.5541617784,272.359360181031,11089.0170548142,12119.4977408601,11312.4541184251,127.508361565631,11069.9599118108,11558.7653916230
40,1394.358163,399.065989,298.2,11382.7223801064,143.430841414704,11165.8021059240,11653.9834625319,10780.0847879892,165.515933838810,10476.0675423220,11096.1016613861
42,1735.958914,503.899135,360,11586.8146207965,203.730532993466,11251.3624672645,11960.8998364477,10533.0259091933,241.680009064437,10091.3360311650,10964.2868375958
48,1672.304899,356.801929,153.6,11413.3690646111,134.854055145121,11194.2065372975,11675.7048557903,11362.3561043693,138.405885981021,11103.8217025412,11620.8050202089
50,1820.294669,530.128411,214.8,11600.3265291021,203.016370420316,11269.6482650783,11973.2999919274,11276.3271031920,196.383307290715,10913.8765042208,11655.0950071432
52,2053.902154,812.646991,18,11594.4928683443,141.880231045283,11351.7090917664,11868.7490390332,11638.0726203005,114.112897906222,11404.7899052506,11839.2716501867
56,1849.914973,481.388918,128.4,11569.0982216622,199.656057279137,11252.902754751,11941.763676688,11415.8203190823,113.415614610280,11209.4636177836,11646.5053285229
57,469.106623,379.336355,201,11179.3152020372,187.361228258792,10898.4719186047,11621.3304288014,10967.6947763216,117.853177522546,10739.9150041243,11188.3790165295
61,1035.881572,319.663909,126.6,11132.2375810770,135.701069484161,10845.2150358990,11388.8629225776,11332.9237743321,100.535285876746,11155.9082512757,11529.9479324424
62,217.795035,-219.435835,126,10849.5843138721,371.540035103825,10185.1064322512,11704.2659360566,10868.5127065292,213.24662956848,10435.7610457213,11228.1704445045
70,1595.859405,642.84141,360,11659.8180503915,230.155896624371,11275.1878117685,12069.552618681,10568.2002234113,229.209877720788,10148.6349273736,10964.9806594972
72,2189.424737,851.709651,9,11573.4676051761,161.326544414271,11289.9658789481,11874.3622172830,11651.2655980862,124.691749877838,11393.6642034879,11870.5835532584
77,1347.749936,-100.673521,372,10182.3972513629,599.046851591513,9327.29127091557,11162.6782679902,10017.9952790816,351.980070841519,9349.85734777513,10593.6741587484
80,1034.042907,165.455065,190.8,10804.1837073122,237.390710883641,10372.7444868309,11183.3349722435,11067.2290653001,94.2286218766396,10895.6370823646,11261.4317380135
84,1368.705227,495.924637,108,11534.1272180324,210.493956590685,11195.0480270251,11896.4218689896,11468.8981489364,105.207151364942,11284.4723787802,11685.6386795522
90,1599.911095,891.861147,156.6,11651.7118457369,247.984460376765,11271.2081174457,12152.4548432598,11423.8347386524,124.376015948152,11204.0514783002,11681.6958599194
92,574.693523,811.769957,329.4,11240.9424329179,216.210900993855,10806.233758685,11661.5223252909,10568.4435981147,220.411912964791,10112.2887050640,10959.6512125017
95,579.86143,831.950749,156,11238.6505190144,220.863781353463,10789.3839415843,11663.4253596387,11236.5383556827,149.345800575021,10909.6454374191,11507.0099389464
100,1960.403119,984.508101,22.2,11574.1717106548,208.099568658608,11151.2839930704,11989.2393093442,11658.0154253355,115.588090499864,11431.7943656126,11873.3953980729
102,904.645682,79.634245,183,10741.0089241937,252.829568813638,10290.6672978695,11138.3934333848,10998.2699823547,97.0871400613533,10810.0183168533,11181.6917694683
103,1643.029837,981.638222,132,11619.5539868824,263.653519604902,11131.0125219783,12149.7354983075,11472.6000885925,113.533480875296,11267.9663828707,11718.2411613167
104,206.355652,642.327522,165,10800.8768383791,292.38811994569,10262.9042786794,11305.7596128909,11004.6612874243,212.646337342412,10577.1470087000,11387.0063625805
105,2397.726136,1096.914009,7.2,11548.1245589032,141.580488964469,11273.0436054308,11791.4263177656,11653.3357361975,147.423009018456,11364.2662588638,11914.2126851118
