"ID","longitude","latitude","altitude","mean.idw.age.2d","sd.idw.age.2d","lower.95.idw.2d","upper.95.idw.2d","mean.idw.age.3d","sd.idw.age.3d","lower.95.idw.3d","upper.95.idw.3d"
11,893.83754,-417.067548,183,11750.1715245991,94.473184528866,11568.7014143135,11938.2060405772,11721.1993597369,91.149685023501,11546.1048337599,11904.1905664594
16,843.373316,239.708818,176.4,11224.2014813614,77.9776349457397,11088.4711905722,11374.0556531676,11223.9902402369,77.3527931191045,11087.5272354252,11371.6883957377
17,38.344058,-59.458932,168,11080.1260975934,63.9095862805048,10961.1491056849,11202.2535017473,11076.2307582145,63.8806756637892,10957.0215922354,11197.7956345528
20,1651.117188,853.401214,68.4,11051.2527005509,69.0290579320233,10913.5454908816,11179.2736633645,11053.5970837470,69.4672296835976,10915.9597632922,11182.7825497471
21,1208.778691,740.998791,193.8,11156.5050721360,98.7015417573968,10965.2634752584,11338.6814605980,11163.6787010383,97.5086578269122,10975.0811341192,11343.8631925328
24,1683.545074,546.776037,45.6,11081.4881577525,73.0414360647925,10941.4431944452,11218.6691192716,11113.713002493,71.4009692319302,10972.3712032079,11248.2276575380
27,1348.41865,636.967747,100.2,10966.2785561340,139.695784815696,10715.8926110813,11205.5322457740,10959.6022719526,141.230179501623,10707.6500186855,11199.9671021292
28,1151.990583,952.825122,175.2,11125.2513221105,71.476583528057,10983.0773325482,11260.3172546889,11126.1881122962,71.4366250209318,10984.2699721264,11261.3004116331
31,1230.215535,867.223736,183,11127.4949886022,81.6967245654536,10969.9470965490,11280.5806545689,11130.2740633231,81.3479191205285,10973.3426880109,11283.0931244718
33,1153.765293,224.467461,201,11253.3740442756,86.10271206428,11079.1484814726,11411.9995484524,11259.1857595856,84.3907734810307,11088.6287075365,11412.826167453
35,1126.237601,942.444699,182.4,11126.4463013117,71.2264931338392,10985.0596958398,11260.4904515120,11127.3439415991,71.1280157661983,10986.6117933690,11260.8621335473
40,1394.358163,399.065989,298.2,10891.7706425077,154.537933893853,10624.9200866657,11143.1316831148,11094.345269067,97.356047252574,10905.0899673093,11270.2020529589
42,1735.958914,503.899135,360,11078.7282954884,78.8504019102428,10933.203340587,11223.1421012000,11080.0312742495,75.6757650778632,10939.4611630599,11216.0316042509
48,1672.304899,356.801929,153.6,11096.0233029123,93.8731166941217,10922.9539909601,11264.1781159128,11146.2464207133,86.4018604978047,10984.0341506126,11302.8262959205
50,1820.294669,530.128411,214.8,11079.7150717512,70.9127566465337,10945.7225644678,11211.7896726096,11078.5496295962,72.5101837290433,10944.3729301676,11211.5417886169
52,2053.902154,812.646991,18,10731.9410753481,145.305947351500,10499.1655696759,10972.6463321793,10731.9410753481,145.305947351500,10499.1655696759,10972.6463321793
56,1849.914973,481.388918,128.4,11088.3610780268,73.8603068445631,10951.8434321425,11224.9836968124,11105.3762924173,70.8438347400785,10972.1856043142,11238.2840904418
57,469.106623,379.336355,201,10462.9404306703,92.7058127843037,10311.2406020955,10616.0191137467,10488.5163652531,89.8036824370895,10339.3413169562,10637.5829504027
60,59.523667,848.788087,274.2,10793.3643257359,432.831942881902,10063.3528345148,11502.0987142624,10798.0129352288,422.356622281322,10083.9946292071,11487.9576790142
61,1035.881572,319.663909,126.6,11279.0747423453,87.8019756631185,11111.6738572413,11435.8975960103,11281.0816817530,87.9442888748223,11115.1883446356,11440.0147547919
62,217.795035,-219.435835,126,11170.4303281527,72.7261382307767,11042.7604321697,11308.1209113077,11169.5568993585,73.0325970936803,11041.5634467255,11307.9994208213
70,1595.859405,642.84141,360,11050.7181223347,81.552022748139,10892.5343937844,11197.5985894360,11089.8669966655,72.331761372369,10944.2436369628,11227.5556073659
77,1347.749936,-100.673521,372,10928.7545000586,329.304516415997,10397.9700103369,11477.9536205572,10928.7545000586,329.304516415997,10397.9700103369,11477.9536205572
80,1034.042907,165.455065,190.8,11258.8824618398,76.4757584980986,11108.4153011311,11409.1234062213,11262.0298945594,74.1786840851955,11117.3309447767,11408.4153045835
84,1368.705227,495.924637,108,10623.5430466426,234.321910701715,10222.3033276460,10999.7456238681,10624.7501314535,233.978191609526,10224.1259538434,11000.4677767169
90,1599.911095,891.861147,156.6,11064.9441315362,69.7423349434318,10926.4680385315,11193.3470663816,11070.2771515641,69.850541975568,10932.5288830202,11199.5230382728
92,574.693523,811.769957,329.4,10900.8601719535,75.7529751352065,10762.4074507177,11042.4388755018,10913.4179153869,77.989430510643,10771.5367947744,11060.5858433907
95,579.86143,831.950749,156,10910.456059501,77.2585864493785,10769.6099006510,11056.0460575884,10909.8047307665,75.9426338746409,10771.3832245494,11052.6668529139
100,1960.403119,984.508101,22.2,10870.1331024022,106.962423910252,10696.1890087985,11045.9540714915,10869.0571055959,107.786724668532,10693.8257118907,11045.8687225707
102,904.645682,79.634245,183,11256.5355184912,85.9727061154936,11102.4579970809,11422.5659667645,11256.7529373957,84.7922350600322,11108.1392957438,11417.7111609937
103,1643.029837,981.638222,132,11056.8301745337,67.0652513491002,10919.8225247031,11180.1037823121,11061.7983724850,66.921444579624,10925.1596439031,11184.9367570005
104,206.355652,642.327522,165,10408.2938964647,92.7827971479104,10231.2171064299,10580.3608005404,10401.6208475754,89.4259322834723,10232.9690142031,10566.7912593469
112,-219.398887,-177.622932,328.2,11141.7032828728,63.7192628390033,11017.5173895375,11261.7502226750,11142.0123226082,63.8459501344416,11017.0595357236,11262.3779678595
114,972.952508,434.522841,162,11262.7828121382,86.9429457996299,11101.7216252215,11418.5745385990,11264.3137366641,87.2955822944616,11101.9963502896,11420.1689506638
117,608.335554,104.329646,131.4,11180.0288258518,264.476539832304,10744.7872624535,11602.2220346518,11180.0288258516,264.476539832662,10744.7872624526,11602.2220346521
119,202.579834,374.867293,224.4,10598.5105983368,60.7191206937505,10487.0033172287,10715.6008527694,10605.9255865596,60.7043489313627,10494.2484476975,10723.1557929854
121,1493.003797,-593.370673,6,15990.623417121,411.4852157602,15335.5586062220,16700.2478866092,15990.623417121,411.4852157602,15335.5586062220,16700.2478866092
125,212.538929,241.555237,197.4,10847.9007396690,58.0947160126997,10740.3446031769,10964.1857759393,10843.6796859479,57.9369934168635,10737.2660461290,10959.8244167760
133,-290.367541,577.314291,329.4,11675.6387198935,191.569553880149,11353.9533233944,11989.8074371079,11675.6387198935,191.569553880149,11353.9533233944,11989.8074371079
136,1339.349022,611.153306,102,10931.0205334243,151.610767267104,10664.7473397482,11187.2439110115,10922.7499601696,153.401826188829,10654.5116021820,11180.1859550917
140,1215.195939,513.203639,160.8,11503.6354731575,174.66143739586,11201.7324453979,11789.6283465880,11508.8892175512,175.516669320141,11206.2629465801,11795.2374780821
141,1215.052805,512.912589,166.8,11504.8205016075,174.908637204795,11202.7007412406,11790.9561873107,11507.8912280711,175.200112233824,11205.8242364328,11794.0321490062
145,1474.417033,139.999383,174,11229.4144719664,91.2870682446774,11050.9154555078,11397.9201016099,11246.2371237794,79.9612088762824,11082.2174013330,11399.4946046844
147,486.651656,755.23946,311.4,10816.8292942928,82.4723115817527,10664.7542683325,10970.276901414,10836.0845468916,85.784491290944,10678.9417715159,10994.0927937722
150,591.929384,287.786121,163.8,11550.1277816819,119.112197099265,11358.0872984797,11747.5935830352,11550.1277816819,119.112197099265,11358.0872984797,11747.5935830352
153,413.14534,-365.991768,146.4,11295.6564539821,78.3573906148075,11157.6548434107,11446.1155681745,11293.2245108719,78.4611463417673,11155.1654316744,11443.6638810257
157,1410.420841,432.097217,343.2,10807.4739631473,177.920616915139,10503.9983036495,11093.6681258861,11105.4665490452,90.3065996929967,10927.5061707631,11270.8330728307
160,1402.780432,493.956016,118.8,10676.8673395186,218.118944975936,10304.1749108324,11026.9739367932,10676.3226142654,218.465101518089,10302.9776066368,11027.0210189819
162,1188.218993,480.083113,156,11586.7554691832,193.400273179371,11257.2948234686,11901.0404758481,11586.7554691832,193.400273179371,11257.2948234686,11901.0404758481
168,830.197856,462.385184,160.8,11146.1375969901,60.0478308921366,11034.9403183037,11268.205608498,11146.2878739844,60.1107139171131,11035.7597040677,11268.2663749201
172,477.191546,420.610073,176.4,10353.7622914698,105.139256954296,10181.3516069872,10523.8647922173,10353.7622914698,105.139256954296,10181.3516069872,10523.8647922173
177,515.440595,481.274435,146.4,10531.3423495515,83.143282146381,10389.7014431528,10672.0591493286,10553.4449375210,80.6815674653372,10415.5666956203,10689.6380417544
178,1340.319442,483.94712,143.4,10660.2262701939,224.392318503527,10275.6861026828,11020.4372650421,10703.7787380459,212.905403851741,10342.8301198491,11044.7301327838
198,484.210426,465.233252,162,10434.2136599006,94.4081075909228,10277.1800854253,10589.6630934066,10441.0309238239,93.5340316480033,10285.3448398910,10594.8772257563
199,1029.211443,298.668979,100.8,11268.9270870963,82.7587494419186,11109.9654486272,11419.4022251387,11269.8107112389,82.1527007397965,11114.371902963,11419.7739919943
203,1152.401148,230.79479,193.2,11254.8752897018,86.5390921634497,11078.9108475086,11412.7871369509,11261.3020477174,85.1533352741495,11092.1630707142,11414.6710336839
209,1216.867385,746.024701,199.8,11150.3639684341,98.306315200393,10960.1987632394,11331.9289119268,11158.2425565163,96.7820166494126,10971.2978110729,11337.3011839356
218,955.67651,337.564449,162.6,11241.7006818862,73.7559569499299,11104.9636086244,11380.1527094206,11243.0955894634,73.8975910866237,11106.6685639185,11380.6962174660
223,1906.782211,383.724264,16.8,11123.6284475775,73.6875662282925,10984.0590654650,11259.6332563574,11177.1015035480,68.042229311747,11044.5822217842,11305.7261647334
224,997.631533,77.488189,192,11274.3855218398,81.3662613431394,11114.2648451480,11431.7897889861,11277.4869743899,77.6693598950428,11124.8218351542,11431.3643476381
227,621.962462,505.553041,126.6,10866.7461362898,58.5560830535642,10756.9971460494,10977.3640842770,10880.3349201654,58.0598167406341,10773.5967168332,10989.0243656256
235,1590.114519,893.752968,219,11067.1257270545,70.0703588011694,10928.3696464058,11196.6491718959,11077.6842383866,69.5166299105129,10939.7331946530,11205.4417324320
237,1564.614081,881.71277,283.8,11071.1327931452,71.8336020927483,10929.1778009824,11201.8520925457,11088.1988153151,69.948185236989,10951.3520825459,11215.1376272889
246,484.911196,751.647821,313.2,10813.6223304749,82.0933064006972,10661.5167031982,10966.7018712299,10833.9817782010,85.5048729993234,10677.1317092596,10991.8952285372
250,1953.050255,865.424247,53.4,10800.4069574983,125.498299674944,10598.5124621466,11006.0695156977,10805.1374808637,124.479186544447,10604.5877488047,11008.8073460712
252,1369.729389,747.534452,228.6,11060.9949867638,102.920997246445,10864.9159571166,11242.3213201662,11083.2258752666,97.108880375541,10896.5878096481,11255.8226505600
256,806.789532,623.27397,183,11075.6676051724,57.9438625567204,10963.8817276212,11185.3937563096,11074.6311207302,57.9066433173324,10962.5898068921,11184.3560670247
270,1401.715066,-111.388081,281.4,10996.9176659492,307.648312835741,10496.7306251357,11507.1089546212,11099.5944582081,266.278526051508,10666.9336756446,11537.8214917891
272,1184.639689,479.887822,180.6,11586.2679298259,193.275644456995,11257.1294748206,11900.3761049798,11566.2586404232,188.074768767746,11245.1207248944,11871.0991060314
273,480.98881,421.544662,228.6,10354.6350625580,105.03050734539,10182.4393648626,10524.5749218565,10475.1048107876,90.2642610615207,10324.3925995495,10626.5750496518
