"ID","longitude","latitude","altitude","mean.tps.age.2d","sd.tps.age.2d","lower.95.tps.2d","upper.95.tps.2d","mean.tps.age.3d","sd.tps.age.3d","lower.95.tps.3d","upper.95.tps.3d"
11,893.83754,-417.067548,183,13415.5805931902,339.487326998388,12776.1923975404,14080.0618777401,13245.5422160463,213.781579132110,12850.7768403553,13656.53531105
16,843.373316,239.708818,176.4,11429.9870632934,210.694595632031,10998.7040815711,11751.5397335656,11363.4736332173,86.862198034729,11206.0331462111,11537.8679666263
17,38.344058,-59.458932,168,12185.9542318378,373.927162081542,11443.8301810001,12869.3065485634,12380.0962704420,183.985799599587,12035.7218808161,12741.8535010189
20,1651.117188,853.401214,68.4,10380.0897504795,199.410984354952,9984.942187325,10730.2754684982,10357.2218924817,125.046201216969,10116.7529906090,10596.8914150449
21,1208.778691,740.998791,193.8,10633.2000075512,223.565557311505,10214.1099208692,11046.8089287514,10365.9148971295,142.979742207768,10097.5854175206,10636.4667636382
24,1683.545074,546.776037,45.6,10590.4764355304,218.517659652840,10178.4478955112,10949.0975772467,11108.7684289482,100.52580710838,10908.5905177489,11303.2597578833
27,1348.41865,636.967747,100.2,10640.9199588739,206.943997477436,10211.3557128057,10979.9169385978,10646.8633208861,134.57263124358,10368.7730647479,10877.0056174977
28,1151.990583,952.825122,175.2,10306.6790541207,344.039126323542,9663.53835663975,10960.5882395558,9951.2696133985,168.344177983655,9637.05817389497,10284.9753982351
31,1230.215535,867.223736,183,10413.7548557319,278.166034650874,9880.6430546978,10935.8646561207,10097.3951365701,156.087071213561,9801.05339411682,10403.4423905636
33,1153.765293,224.467461,201,11271.0137615835,162.471515649276,10972.8474603266,11573.2680722404,11389.724048007,90.6528027226323,11222.8432985164,11579.3059607005
35,1126.237601,942.444699,182.4,10325.9727070344,346.178985355339,9681.00287676695,10993.4954849615,9962.58898389747,169.940309305521,9651.34609768729,10296.9518903278
40,1394.358163,399.065989,298.2,10998.1066843763,135.080899034409,10719.803164315,11238.7064036158,10557.8244545563,146.516026275037,10278.9181272255,10839.0101925385
42,1735.958914,503.899135,360,10694.1424110195,190.441335007089,10335.6426331081,11006.9116155748,9936.75518123307,240.974566939681,9470.4886307042,10381.8334686498
48,1672.304899,356.801929,153.6,11060.8196723344,94.5473321412698,10866.3076368831,11220.5640285483,11163.3792500208,86.4991652662406,10993.3299611725,11322.2949945770
50,1820.294669,530.128411,214.8,10730.4058506686,174.822043301734,10392.4506054864,11026.3689207783,10560.5704982405,117.441917621325,10341.1179116276,10778.4842865854
52,2053.902154,812.646991,18,10711.1639651242,143.581591791806,10479.8875924047,10964.1792651144,10715.1765897870,138.199261502173,10492.9651121198,10950.5303506000
56,1849.914973,481.388918,128.4,10845.0795583691,160.326067421625,10530.7926585172,11113.9563660799,10876.0398570535,94.1730821206202,10692.0409690636,11048.286055301
57,469.106623,379.336355,201,10672.1065531431,110.834385524630,10475.3452016920,10899.6255200452,10778.6040367983,77.5045705386672,10622.2809942458,10927.1431008086
60,59.523667,848.788087,274.2,10778.6380072748,392.454724934166,10112.9588860535,11486.0951344278,10753.6100526323,236.857041105616,10336.2594370471,11204.2878312970
61,1035.881572,319.663909,126.6,11474.5297214211,269.513022750366,10959.2809763541,11874.8642272865,11361.0501423976,101.724529411867,11181.7391706372,11566.8967087323
62,217.795035,-219.435835,126,12596.8997729732,424.429606610894,11751.6374051123,13366.1006538596,13011.5886206031,222.727554829981,12605.0915680566,13436.6511545727
70,1595.859405,642.84141,360,10473.7520678354,238.516053717879,10019.0150272284,10859.8072285211,9750.57239475813,233.658157700242,9289.2529250196,10203.1596198746
77,1347.749936,-100.673521,372,11102.8226045838,466.248667936716,10439.5182884550,12126.1477771203,11027.2543384322,331.291419087619,10467.787458141,11568.6162302095
80,1034.042907,165.455065,190.8,11227.9481779381,152.729119494134,10932.7395694390,11516.7492302885,11511.9156500735,90.8548526407591,11341.9377792391,11697.1435316202
84,1368.705227,495.924637,108,10752.5926127647,214.303743789035,10321.3829622144,11078.5913318709,10823.7595598035,158.706513649894,10481.0974882983,11090.7795005045
90,1599.911095,891.861147,156.6,10336.6184464574,216.051047718914,9908.5591265096,10727.9981691792,9993.7063298921,148.144545588608,9695.76517321352,10273.152890517
92,574.693523,811.769957,329.4,10399.1089305880,413.744856699286,9635.43403549048,11154.9275806353,10259.7505021843,191.345709270425,9902.44068107488,10620.2292467556
95,579.86143,831.950749,156,10397.3123059849,432.128694008154,9605.48671544739,11188.8300092126,10239.1586585074,146.240672121848,9971.69528933148,10511.1959439378
100,1960.403119,984.508101,22.2,10414.1375004292,191.559236861144,10075.7270154453,10784.7547734513,10305.2239215067,152.838026025189,10039.4863990451,10586.0223971341
102,904.645682,79.634245,183,11171.5765314641,202.601744873606,10818.1090251392,11556.9426070723,11674.8212011326,106.629890099885,11476.0578253705,11874.5070285893
103,1643.029837,981.638222,132,10261.7651244882,233.556593538847,9814.53871420763,10697.2925989911,9863.26153827578,155.990192311787,9548.26404972751,10150.9519603034
104,206.355652,642.327522,165,10336.4110803366,213.912184756095,9960.128779587,10764.6337370967,10401.2044408123,127.774377522037,10158.8479407352,10653.9019148383
112,-219.398887,-177.622932,328.2,13058.3322712478,437.673518810158,12210.7985902167,13878.6287465110,12685.4622508874,224.278706985177,12257.8330010243,13133.4012071243
114,972.952508,434.522841,162,11460.5619003356,325.675612042137,10836.1406554716,11930.7073850374,11138.7612493569,121.743346178317,10933.5300146975,11406.4903464749
117,608.335554,104.329646,131.4,11249.305054408,247.558673958694,10785.7842985296,11621.6744213287,11430.2247599990,211.45359496296,10984.7717316579,11776.6612946897
119,202.579834,374.867293,224.4,10626.0764114392,199.060889457545,10314.8808537151,11055.3115225991,10968.6500087697,91.2602843770077,10797.2579939558,11140.1781670897
121,1493.003797,-593.370673,6,15884.4925601053,475.328371443648,14919.1942142347,16673.3856567897,15800.8691177392,446.445909892275,15061.8574177461,16600.0265001331
125,212.538929,241.555237,197.4,11080.3653991849,191.400646243004,10708.5217759774,11433.1175748353,11260.8342818181,102.061279298094,11059.8173283267,11459.7728155656
133,-290.367541,577.314291,329.4,11610.9885816529,204.421779136932,11259.0502853875,11961.5071177974,11601.6538826339,171.326843590153,11332.5624652798,11931.7769119233
136,1339.349022,611.153306,102,10685.5777617700,202.876778533903,10263.6348782042,11018.4063361443,10684.4607993438,137.999115972561,10405.8616512105,10918.4762066808
140,1215.195939,513.203639,160.8,11219.5252933375,223.999454068938,10780.0319952735,11606.9941852132,11149.9680109261,173.442950719433,10864.5956865913,11523.2131896662
141,1215.052805,512.912589,166.8,11220.8562298119,224.333241352446,10780.5744187386,11608.7898058729,11118.5729539978,167.794417635722,10840.5273966248,11485.4809163791
145,1474.417033,139.999383,174,11183.2653479433,177.260844883798,10863.5137703438,11520.3200818883,11651.7178267778,90.1564798053349,11477.9861160199,11826.6740619593
147,486.651656,755.23946,311.4,10365.3053753646,367.461416766628,9678.75492163364,11003.0161862971,10449.7315531243,188.766806334289,10106.5216997178,10800.3429076715
150,591.929384,287.786121,163.8,11380.9318652089,201.769475583528,10957.4265404610,11668.3679111545,11318.3280165871,90.3329323804111,11153.4145188131,11494.2641602414
153,413.14534,-365.991768,146.4,13208.7402131185,424.202366115988,12366.1877234537,14001.03696155,13366.6456682737,230.893299138845,12934.9476573287,13809.9879467741
157,1410.420841,432.097217,343.2,10874.8277068021,166.610128938379,10535.2433049817,11132.1292291541,10282.3336742383,200.348988670515,9908.41735070674,10652.9621310306
160,1402.780432,493.956016,118.8,10699.324758534,229.603349758791,10245.4700287570,11054.2047190922,10836.3002515351,150.617492823943,10522.1292139429,11091.0246693562
162,1188.218993,480.083113,156,11384.1036843539,275.643868975326,10837.6206248755,11816.0086746158,11308.9515319262,192.502241700175,10997.8325315853,11736.6805944686
168,830.197856,462.385184,160.8,11215.4792470647,254.080235294068,10734.2541240597,11625.0821530633,10949.5979411973,90.6202965014988,10787.2897712970,11137.5643222612
172,477.191546,420.610073,176.4,10481.9260296781,153.144081793645,10241.703503979,10805.2149908069,10565.5283947584,101.390074581892,10355.7285785103,10756.7388363790
177,515.440595,481.274435,146.4,10407.7979895485,149.656327104557,10151.5505173811,10719.3086125593,10697.6779516695,76.5780266181051,10561.9653746364,10863.3347712004
178,1340.319442,483.94712,143.4,10861.1726682892,183.988337296331,10492.2015364136,11155.1257953253,11051.8720358199,137.351454240060,10806.5502932654,11325.3731678532
198,484.210426,465.233252,162,10373.1606921344,167.564814568222,10112.4742806142,10737.0232845878,10598.8170126798,84.6030403745479,10433.3012447079,10767.6111402098
199,1029.211443,298.668979,100.8,11453.3209972568,252.174612022258,10977.8126376119,11827.4314114719,11443.8624988312,104.173717764617,11239.3011395326,11646.4066088253
203,1152.401148,230.79479,193.2,11282.5997342789,166.122786938093,10976.5937509501,11587.0485934396,11410.5600870243,92.6233592073655,11242.3558678762,11610.0945880146
209,1216.867385,746.024701,199.8,10617.8929387585,224.417775810197,10192.611139339,11033.0019912311,10333.8431035602,144.185554862127,10061.0694702111,10605.9705043902
218,955.67651,337.564449,162.6,11490.6500204785,289.328828819881,10934.5503145038,11903.4745699199,11279.2229838259,102.898721136351,11106.3556229972,11497.5838914809
223,1906.782211,383.724264,16.8,11136.4600517866,138.839569525554,10852.3932816353,11367.6206287596,11768.9293224877,113.189087588863,11550.1803011397,11991.0696899537
224,997.631533,77.488189,192,11113.3795448373,207.783160457346,10753.3638024801,11525.6152418371,11679.7819265599,101.555391221623,11484.3041057665,11877.3501214147
227,621.962462,505.553041,126.6,10625.3995383256,120.604219455005,10386.1228983257,10859.4086702058,10818.9160937983,80.9964210297152,10665.4515027292,10977.2572981404
235,1590.114519,893.752968,219,10333.0674314971,218.460582111568,9898.17979229396,10728.7811810258,9814.79799944937,169.503493024101,9482.36265102684,10140.1060667261
237,1564.614081,881.71277,283.8,10339.0515941292,221.001774689909,9896.43290054897,10734.6475351619,9617.0349862772,198.938893924607,9234.22171672182,10014.5388634267
246,484.911196,751.647821,313.2,10362.8898400627,363.294020270518,9684.2155735125,10993.1328378991,10455.8264351392,186.901186128377,10114.9519490564,10805.1751171509
250,1953.050255,865.424247,53.4,10562.6034721074,151.882184389259,10304.3487442756,10824.9749934233,10384.4670299170,129.943891770074,10146.0246537987,10626.0399248308
252,1369.729389,747.534452,228.6,10499.0671302936,219.604186974047,10035.8240972945,10870.2272668263,10190.8402549215,147.560654313267,9909.80626779781,10483.0256257246
256,806.789532,623.27397,183,10801.5462100647,231.979483144776,10401.0601871232,11251.1438366443,10547.1778954586,109.022852794270,10342.1509396851,10760.2055101967
270,1401.715066,-111.388081,281.4,11231.0040317764,452.448510222992,10583.8505864002,12208.0034174411,11668.478466079,194.937649774836,11326.6929618603,12014.7241602705
272,1184.639689,479.887822,180.6,11391.7334952330,279.436980037905,10837.2981139118,11827.6176850584,11099.9230458252,149.467197740210,10852.5115911503,11427.6940738131
273,480.98881,421.544662,228.6,10485.7945908444,151.026226715691,10246.1772685969,10803.2438453219,10771.9179135872,85.7236521764699,10597.6138436764,10934.6696302933
285,1708.401628,240.399319,9,11391.4052642564,132.920570826125,11175.9226775671,11672.0227511823,12272.7998711808,134.947777672032,12023.4148753873,12539.9067116963
290,1440.067278,681.443583,115.2,10502.6584893007,227.71197714926,10041.9474478994,10876.4192686547,10529.0397223117,130.528349936017,10255.7451599143,10768.3291823183
291,1363.984194,495.243899,113.4,10764.8596694688,210.632686744926,10337.9243049326,11084.9668291771,10799.7483435373,167.229890581331,10443.7773932960,11076.9306573848
297,1330.646654,422.102021,256.8,11060.4733080557,145.640747718228,10796.5881890739,11338.0112787343,10745.3548186426,109.763000297647,10527.6691823610,10952.7475086403
305,1714.260775,413.376606,44.4,10883.8135683611,142.876679894412,10598.4067892197,11117.0149372091,11442.5081232584,101.642935286118,11244.3259765485,11634.434768404
310,1407.897511,670.824542,100.2,10537.1552479543,222.820851256371,10077.6974197804,10904.1525968382,10579.9884438222,130.634294041177,10304.4246708763,10808.6924812905
312,168.436952,844.983495,286.8,10647.7646479931,474.440801620025,9818.56257798043,11504.0790740406,10648.3860264816,228.850309601026,10253.5381929630,11080.7856013520
315,55.365415,850.365162,268.2,10782.5250058370,388.165235582298,10122.2873253327,11480.3484832193,10749.2564333165,253.113746159955,10304.9732691738,11222.5272818007
322,1010.499602,940.257064,258,10342.5777130304,381.211075923971,9643.81025303644,11071.4600374683,9846.116207722,203.633093595220,9479.35952154832,10239.3924297710
323,857.083889,-255.797962,157.2,12182.5124814600,382.517443100729,11534.7763878637,12982.2249076500,12814.7601248640,181.345029937182,12480.5004321208,13155.3833944929
