"ID","longitude","latitude","altitude","mean.tps.age.2d","sd.tps.age.2d","lower.95.tps.2d","upper.95.tps.2d","mean.tps.age.3d","sd.tps.age.3d","lower.95.tps.3d","upper.95.tps.3d"
11,893.83754,-417.067548,183,15300.5605368816,302.357206794824,14735.8464480873,15893.1027093011,14326.0710734216,226.996056097274,13914.0351348943,14778.4053533861
16,843.373316,239.708818,176.4,11166.7798849259,146.240289849518,10887.9528197878,11425.2262892962,11458.2910443671,94.5930981341897,11280.7313529539,11620.1293394997
17,38.344058,-59.458932,168,14442.6444093190,383.902416749352,13703.8738096732,15194.3076385730,13143.2359686387,180.631077914844,12803.1259333676,13500.6766897689
20,1651.117188,853.401214,68.4,11242.857499587,225.642784328209,10821.2883128601,11664.1522150877,11218.7346520962,91.36493463857,11046.2643911125,11403.4635412961
21,1208.778691,740.998791,193.8,10988.1487924962,179.021497651671,10647.6969364688,11328.0040998690,10342.5435440538,103.952480775900,10146.6810210795,10547.7032741853
24,1683.545074,546.776037,45.6,12064.3815034431,177.691844237699,11746.7555823361,12405.1376902983,11809.1654297866,90.7854953950703,11635.9236295127,11979.1480121368
27,1348.41865,636.967747,100.2,11763.5867275540,149.248514516570,11465.490759182,12044.3112646658,11555.4213569104,95.5802848464422,11378.5465498151,11719.5701631585
28,1151.990583,952.825122,175.2,9848.85070869664,259.7648363032,9373.87019080037,10345.0823136483,9859.22446918422,121.404067483593,9616.73664963884,10093.8844528407
31,1230.215535,867.223736,183,10458.3758814868,222.040664974597,10042.3420269533,10873.8879617790,10092.7085616621,113.816721267669,9876.9854661288,10321.7201136297
33,1153.765293,224.467461,201,11176.0376082198,163.381869135472,10843.9220948650,11481.0835657832,11675.8702023825,87.0898339026493,11507.7899613615,11843.2150110836
35,1126.237601,942.444699,182.4,9825.07475485749,258.826987691305,9348.3586055971,10321.0507476600,9805.66038033432,122.562888562509,9561.99377652695,10045.3159130284
40,1394.358163,399.065989,298.2,11772.4077801270,105.15936916105,11578.7633580172,11963.3193007591,10766.6201631664,159.056580228608,10458.7489694274,11063.9208986835
42,1735.958914,503.899135,360,12040.4802690858,189.593062451959,11700.7148733659,12392.9317913051,10083.7233727352,246.593270191533,9614.3800934846,10531.6406053240
48,1672.304899,356.801929,153.6,11610.0152621220,113.768280309086,11400.4122686088,11812.8602563491,11737.9322026989,88.4559676696412,11572.2638702490,11905.9756180286
50,1820.294669,530.128411,214.8,12043.2430381963,209.553351277846,11655.0363104768,12451.1492695654,11201.7607043930,138.946824113674,10956.6956186295,11442.4007516099
52,2053.902154,812.646991,18,11588.1818468782,175.796863301105,11290.5584403169,11893.7020658355,11761.9676855134,143.143194638375,11504.3784400515,12009.5725241813
56,1849.914973,481.388918,128.4,12023.1072907688,213.346047290663,11638.2470171641,12433.3801170842,11507.3829677836,83.067055866097,11349.4135803930,11670.3261744014
57,469.106623,379.336355,201,10702.0600796330,89.232542641231,10539.2724694366,10864.3036755929,10582.4299075451,73.1983177850238,10443.4169285508,10717.9069980910
60,59.523667,848.788087,274.2,9417.68311953795,234.257881595042,9026.78487286444,9812.73717925857,9943.5003411956,168.624553240568,9628.65152550779,10240.5035440755
61,1035.881572,319.663909,126.6,11196.8252764674,126.931692228765,10932.9741236711,11427.1515219919,11819.4420016396,80.4129701664381,11658.9294194749,11966.7709533054
62,217.795035,-219.435835,126,14996.5373190236,375.683754779319,14272.1874446875,15767.7113152518,14096.1306441175,223.188306792365,13696.3932712712,14529.482677566
70,1595.859405,642.84141,360,11957.6857451789,177.052105715506,11632.8072432848,12306.4880555196,9659.84021744318,239.659333643548,9192.3629736225,10100.0518652938
72,2189.424737,851.709651,9,11577.3584995487,173.279740686439,11284.2687441688,11864.1707814925,11746.4236072628,183.06004249656,11443.1088273984,12062.4657511646
77,1347.749936,-100.673521,372,11680.4505645451,326.511683626816,11151.6218643812,12233.0873112159,11661.4020577978,327.184746831596,11135.0113715751,12211.9400532642
80,1034.042907,165.455065,190.8,11206.9073748888,180.001447643789,10851.6391719612,11539.3071841739,11818.8515338208,91.3705848775083,11638.0376816118,11990.0339975786
84,1368.705227,495.924637,108,12058.1045270077,124.22193341668,11840.8600408371,12266.2501285563,11993.2849663900,111.859975222444,11800.2558048369,12173.5388995154
90,1599.911095,891.861147,156.6,11020.4617370159,228.770381964916,10589.1593773983,11450.6813113941,10451.2101561430,112.284045157764,10239.3688066887,10667.4904925291
92,574.693523,811.769957,329.4,8755.13716649404,292.715881219154,8219.10787714528,9295.9025097075,9352.01868919649,180.450440695386,8985.9626819413,9678.40804388992
95,579.86143,831.950749,156,8700.81389697305,302.408091148037,8151.37939338877,9259.93356326052,9865.85617757944,103.263939304960,9659.05948650884,10057.4139751317
100,1960.403119,984.508101,22.2,10974.7776385457,142.735507597417,10709.9627895491,11236.9500469799,11339.5887492927,119.36952793073,11107.8950087111,11576.5845242017
102,904.645682,79.634245,183,11513.2576442453,204.087855007707,11116.2164078772,11890.2831958977,12102.1542938359,108.751503247665,11891.1962005861,12304.6468263702
103,1643.029837,981.638222,132,10647.6857218328,238.155995326539,10199.9889158830,11092.5703544333,10397.2130739158,121.073777328824,10176.4654731210,10623.5854783291
104,206.355652,642.327522,165,9576.1472747679,132.039089233861,9327.40215700306,9822.68943848165,10160.9572297999,85.1609265387373,10005.8566055212,10320.1382049891
114,972.952508,434.522841,162,11054.1182126193,113.175430900520,10824.6174371302,11250.2891071259,11140.5144138503,71.131025094259,10995.8391125769,11277.0331164089
117,608.335554,104.329646,131.4,11864.0643927133,200.384705020682,11498.5785788584,12231.7087092139,12330.0195307756,132.217841849936,12087.8057587069,12585.3679670367
119,202.579834,374.867293,224.4,11183.2643670797,137.514291165827,10920.1371809018,11450.3737385499,10828.3182464632,77.3794675281043,10677.0661742030,10979.858236153
121,1493.003797,-593.370673,6,17484.3435538298,412.672505150214,16796.9439144144,18164.4963920384,17477.5806345270,411.082482985316,16789.3679385233,18156.0200357065
125,212.538929,241.555237,197.4,11961.7218361304,197.324805574363,11577.9739666179,12352.5428027647,11401.5848474429,93.5579260891676,11223.8905085608,11589.6006216748
130,2010.475712,1043.688505,82.2,10729.7062845628,170.236447807551,10445.1969720651,11020.9016557961,10714.8580107086,171.275631955855,10442.2404790131,11006.9809368525
136,1339.349022,611.153306,102,11831.0568403253,143.650032637914,11552.7254048124,12094.6530367497,11630.8747606428,98.3642608527575,11451.2514826342,11796.3739114704
140,1215.195939,513.203639,160.8,11698.5980039026,131.173353291583,11452.2966928481,11918.9275337622,11287.8686457685,82.4876951087607,11127.8353652942,11435.1362412040
141,1215.052805,512.912589,166.8,11698.3252903064,131.139560372460,11452.2823604427,11918.6555473062,11228.5889788295,81.8689283493393,11068.0394719465,11379.5503178248
145,1474.417033,139.999383,174,11020.3877977488,203.412037449331,10618.95706865,11417.3643501986,12229.4728731892,98.339215722399,12046.0262938503,12420.3248961874
147,486.651656,755.23946,311.4,8812.28362548878,265.955029779089,8310.80617570586,9301.6566378498,9545.73280131794,164.323304771883,9214.71628381389,9849.21902976937
150,591.929384,287.786121,163.8,11075.1365793281,134.674905156149,10854.6420231378,11296.1223193615,11091.1088653430,133.226765419819,10872.856981721,11305.4135995283
153,413.14534,-365.991768,146.4,15672.4489869148,369.590048923812,14966.9905056457,16416.1875941239,14503.0870112683,238.660505375936,14078.5298976819,14957.0466563306
157,1410.420841,432.097217,343.2,11909.5684386553,103.751211280826,11718.9593963853,12085.2595626072,10355.0986996849,209.142807976519,9959.46419827202,10734.4894797945
