id,SiteName,Handle,Longitude,Latitude,Altitude,GeoPolitic,Chronology,AgeType,AgeModel,AgeBoundYo,AgeBoundOl,X21_18,X18_145,X145_129,X129_115,X115_105,Source,lon_alb_km,lat_alb_km,alt_km,picea_decline_idw_2d_age_mean,picea_decline_idw_2d_age_older,picea_decline_idw_2d_age_younger,picea_decline_depth,picea_decline_age_basis,alnus_decline_idw_2d_age_mean,alnus_decline_idw_2d_age_older,alnus_decline_idw_2d_age_younger,alnus_decline_depth,alnus_decline_age_basis,quercus_rise_idw_2d_age_mean,quercus_rise_idw_2d_age_older,quercus_rise_idw_2d_age_younger,quercus_rise_depth,quercus_rise_age_basis
11,Anderson Pond,ANDERSON,-85.5,36.033333,305,United States,31,Radiocarbon years BP,linear interpolation,0,24000,y,y,y,y,y,access,893.83754,-417.067548,183,11750,11938,11569,132,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,12371,12594,12164,280,pollen stratigraphic: quercus rise idw-2d
16,Appleman Lake,APPLEMAN,-85.2136,41.6237,294,United States,NA,Calibrated radiocarbon years B.P.,Linear regression,7500,17000,n,y,y,y,y,excel,843.373316,239.708818,176.4,11224,11374,11088,762.5,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11208,11336,11078,718.5,pollen stratigraphic: quercus rise idw-2d
20,Lac des Atocas,ATO,-73.311111,45.543056,114,Canada,50,Radiocarbon years BP,linear interpolation (+ extrapolation),0,10250,n,n,n,y,y,access,1651.117188,853.401214,68.4,11051,11179,10914,765,pollen stratigraphic: picea decline idw-2d,11395,11526,11264,620,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
21,Axe Lake,AXELAKE,-79.51,45.38,323,Canada,52,Radiocarbon years BP,linear interpolation,-20,9900,n,n,n,n,y,access,1208.778691,740.998791,193.8,11157,11339,10965,620,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Ballston Lake,BALLSTON,-73.8481,42.9566,76,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,1710,12700,n,n,n,y,y,excel,1683.545074,546.776037,45.6,11081,11219,10941,775,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Barry Lake,BARRY,-77.916667,44.3,167,Canada,68,Radiocarbon years BP,linear interpolation,-20,10310,n,n,n,y,y,access,1348.41865,636.967747,100.2,10966,11206,10716,440,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Baseball Bog,BASEBALL,-79.78,47.23,292,Canada,69,Radiocarbon years BP,linear interpolation,-30,10470,n,n,n,y,y,access,1151.990583,952.825122,175.2,11125,11260,10983,300,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Lac Bastien,BASTIEN,-78.916667,46.4,305,Canada,73,Radiocarbon years BP,2nd degree polynomial (least squares),-40,9500,n,n,n,n,y,access,1230.215535,867.223736,183,11127,11281,10970,1312,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Battaglia Bog,BATTAGLI,-81.328611,41.143889,335,United States,75,Radiocarbon years BP,linear interpolation,10000,15970,y,y,y,y,y,access,1153.765293,224.467461,201,NA,NA,NA,NA,NA,11131,11316,10950,330,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
35,Bear Bog,BEARBOG,-80.16,47.18,304,Canada,78,Radiocarbon years BP,linear interpolation,3560,10000,n,n,n,n,y,access,1126.237601,942.444699,182.4,11126,11260,10985,380,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
