Material (as in the Geochronology table of the Neotoma database),Accuracy Rank,Notes
 2 Sagittaria seeds; 1 Picea seed; charcoal,3,"weighted towards seeds (between 2=seed, 5=charcoal)"
 Picea needle; 2 Betula seeds; Larix needle; Picea seed wing,2,
"""cedar"" type wood",5,
(NaOH insoluble fraction),5,uncertain material; assigned 5 as default
(NaOH soluble fraction),5,uncertain material; assigned 5 as default
(organic fraction),5,uncertain material; assigned 5 as default
(shell fraction),6,
1 Alnus seed,2,
1 Betula and 1 Cyperaceae seed,2,
1 Betula seed,2,
"1 black Schoenoplectus seed, 2 yellow Schoenoplectus seeds",2,
1 bud,2,
"1 Cladium, 5 yellow Schoenoplectus seeds",2,
1 Cyperaceae seed,2,
"1 Dirca seed, 5 yellow Schoenoplectus",2,
1 ml bulk sediment,5,
1 Polygonaceae seed,2,
"1 sedge node, 1 Eleocharis seed",2,
1 seed,2,
1 seed bract,2,
10.5 Schoenoplectus seeds,2,
15 Schoenoplectus seeds,2,
1st extraction humic acid,5,uncertain material; assigned 5 as default
2 Betula seeds,2,
2 Betula/Alnus seeds,2,
2 black Schoenoplectus seeds,2,
"2 bud scales, charcoal",4,"weighted towards charcoal (between 2=bud scales, 5=charcoal)"
2 Cenchrus longispinus seeds,2,
2 charcoal stems,5,
"2 charcoalized Picea needle tips, charcoal",4,"weighted towards charcoal (between 2=needle tips, 5=charcoal)"
2 Cyperaceae seeds,2,
2 Heliotropium seeds/charcoal,3,"weighted towards seeds (between 2=seed, 5=charcoal)"
"2 Picea needles, 1 Picea seed",2,
2 Polygonum seeds,2,
"2 Sagittaria seeds, 1 Picea seed, charcoal",3,"weighted towards seeds (between 2=seed, 5=charcoal)"
2 Schoenoplectus nodes,2,
2 Schoenoplectus seeds,2,
"2 sedge nodes, 1 woody fragment",3,midway between ranks of sedge nodes (rank=2) and woody fragments (rank=4)
"2 sedge nodes, 2 woody fragments",3,midway between ranks of sedge nodes (rank=2) and woody fragments (rank=4)
"20 picea, 40 larix needles",2,
21 Polygonum seeds,2,
2nd extraction humic acid,5,uncertain material; assigned 5 as default
2nd extraction humin,5,uncertain material; assigned 5 as default
3 Betula seeds,2,
3 Carex seeds,2,
"3 charcoal pieces, 1 Shoenoplectus seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"3 Eleocharis seeds, 1 white Carex seed",2,
"3 larix, 1 betula bract, charc",3,"weighted towards bract (between 2=bract, 5=charcoal)"
3 Schoenoplectus seeds,2,
30 dryas and 26 salix leaves,2,
30 pinus strobus needles,2,
36 Polygonum seeds,2,
3rd extraction humic acid,5,uncertain material; assigned 5 as default
3rd extraction humin,5,uncertain material; assigned 5 as default
4 black Schoenoplectus seeds,2,
4 picea and 1 larix needle,2,
5 Heliotropium seeds,2,
57 Chenopodium-type seeds,2,
6 black Schoenoplectus seeds,2,
7 black Schoenoplectus seeds,2,
9 picea needles and a seed,2,
90 dryas and 15 salix leaves,2,
90 ml bulk sediment,5,
Abies cf. lasiocarpa wood,5,
Abies cone scale,2,
Abies needle,2,
Abies seed,2,
acorn fragments,2,
Alces alces bone,6,
algal clayey gyttja,5,
algal copropel,5,
Algal gyttja,5,
algal gyttja,5,
algal-calcareous gyttja,5,
Algal-clayey gyttja,5,
Alkali-soluble humus,5,
Alkali-soluble humus (1),5,
alluvial silt,5,
Alnus twig,2,
Alnus twigs,2,
Alnus wood,5,
also sample number BETA-59381,5,material not specified
also sample number BETA-61558,5,material not specified
also sample number BETA-61559,5,material not specified
amberat sample #7865,4,assigned this as a default- probably better than wood?
amberat sample #7866,4,assigned this as a default- probably better than wood?
amberat sample #7867,4,assigned this as a default- probably better than wood?
amberat sample #7868,4,assigned this as a default- probably better than wood?
amberat sample #7869,4,assigned this as a default- probably better than wood?
amberat sample #7870,4,assigned this as a default- probably better than wood?
amberat sample #7871,4,assigned this as a default- probably better than wood?
amberat sample #7872,4,assigned this as a default- probably better than wood?
amberat sample #7873,4,assigned this as a default- probably better than wood?
Ambrosia seed,2,
Angiosperm wood,5,
Antler,6,
aquatic moss,6,
aquatic moss peat and wood,5,
aquatic mosses,6,
Arctodus simus bone,6,
Arctodus simus bone collagen,5,
Artiodactyla bone,6,
"Aster seeds, wood",4,"weighted towards wood (between 2=seed, 5=wood)"
bark,3,
Bark,3,
Bark and bract,3,"Weighted towards bark (between 2=bract, 3=bark)"
Bark and charcoal,4,Weighted between bark (3) and charcoal (5)
Bark and plant fragments,3,"between 3=plant matter/fragments/material, 3=bark)"
bark fragment,3,
"Bark, needles",3,"Weighted towards bark (between 2=needles, 3=bark)"
"Bark,seeds,insect parts",3,"weighted towards bark (between 2=seed, 3=bark)"
Basal clayey gyttja,5,
basal peat moss,6,
base soluble bulk sediment,5,
bat dung,2,
beaver-gnawed wood,5,
beetle parts,2,
"beetle, probably aquatic",3,penalized one rank because 'probably aquatic'
Betuaceae frts and catkin scls,2,
Betula and Larix twigs,2,
Betula fruits,2,
Betula fruits and bracts,2,
Betula lenta seed and stem frgs,2,
Betula nana twig,2,
Betula sect. Albae bark and wood,4,"weighted between wood and bark, not sure what ""sect"" refers to (between wood=5, bark=3)"
Betula seed and bract,2,
Betula seed; moss stem,4,"weighted towards mosses (between 2=seed, 6=mosses)"
Betula seeds and pinus scales,2,
Betula twig,2,
Betula twigs,2,
"Betula/Viola seeds, picea ndls",2,
"Betulaceae frts, Lrx lf nd twg",2,
Biomphalaria gastropod shells,6,
Birch,5,
Birch seed,2,
Birch twigs,2,
bird bone,6,
Bison antiquus bone,6,
Bison antiquus bone amino acid,5,
Bison bison,6,
Bison bison bone,6,
Bison bison bone collagen,5,
Bison bison hoof,6,
Bison bison horn sheath,6,
Bison bone,6,
Bison bone apatite/carbonate,6,
Bison bone collagen,5,
Bison occidentalis bone,6,
Bivalve,6,
bivalve,6,
black and gray silty clay,5,
Black clay,5,
Black detritus gyttja,5,
Black gyttja,5,
Black highly humified peat,5,
Black lake mud,5,
black muck,5,
Black mud,5,
black organic clay,5,
black peat,5,
Black peat,5,
black silt,5,
black silty clay,5,
"black, gelatinous gyttja",5,
"Black, highly humified peat",5,
Blackish decomposed Alnus peat,5,
blue-grey silty clay,5,
Bog-forest peat,5,
Bone,6,
bone,6,
Bone (phalanx),6,
bone amino acid,5,
bone apatite/carbonate,6,
bone collagen,5,
Bootherium bombifrons bone,6,
Bos taurus bone,6,
Bovidae bone,6,
"bract, seed, twig, and leaf frgs",2,
branch fragment,4,
branch of shrub,4,
Brasenia seeds,2,
Brown dark clay,5,
brown fibrous peat,5,
brown gyttja,5,
Brown gyttja,5,
Brown moss,6,
Brown peat,5,
Brown peat with Phragmites,5,
"Brown peat, shell, Phragmites, wood",5,weighted towards wood/peat
"Brown peat, with abundant Phragmites rhizomes",5,
"Brown, coarse detritus gyttja",5,
Brownclay with peat admixture,5,
Bryophyte macrofossil,2,
bryophyte peat,5,
bryophytes,5,
Bryophytes (sphagnum),5,
Bryophytes (unidentified),5,
bryophytic peat,5,
bulk,5,
Bulk,5,
Bulk carbon in sediment,5,
bulk clay sample,5,
bulk clay sediment,5,
bulk date,5,
bulk date (carbonate),5,
bulk lake sediment,5,
Bulk marine sediment,5,
Bulk mud,5,
bulk organic in clay matrix,5,
Bulk organic sediment,5,
bulk organics,5,
bulk peat,5,
Bulk peat,5,
bulk peat sample,5,
bulk peaty material,5,
Bulk peaty sediment,5,
bulk sediment,5,
Bulk sediment,5,
Bulk sediment - gyttja w/ detritus,5,
Bulk sediment - marly gyttja,5,
bulk sediment (clay),5,
bulk sediment (marly gyttja),5,
"bulk sediment: needles, wood",4,"weighted towards wood (5) and bulk (5), away from needles (2)"
bulk sediment:detrtus gyttja,5,
bulk;gyttja,5,
bulk:gyttja,5,
Buried peat,5,
Buried peat lower limit,5,
Buried soils,5,
burned log,5,
Calc with sand,5,
Calcareous,5,
Calcareous clay gyttja,5,
calcareous detritus gyttja,5,
Calcareous fraction,5,
Calcareous fraction (39%),5,
Calcareous fraction (47%),5,
Calcareous gyttia,5,
calcareous gyttja,5,
Calcareous gyttja,5,
calcareous organic silt,5,
calcareous sand,5,
calcareous silt,5,
Calcareous silt,5,
calcareous silty gyttja,5,
calcareous silty muck,5,
calcareous-ferrous gyttja,5,
Camelops bone,6,
Camelops hesternus bone,6,
Camelops hesternus bone amino acid,5,
Carbon in loamy sand,5,
Carbon in sandy clay loam,5,
carbonate,5,
Carbonate - lacustrine lime,5,
Carbonate fen,5,
Carbonate-rich horizon with shell fragments and lime mud. Organic carbon: 0.75%; CaCO3: 16.2%.,5,weighted towards mud
"Carbonized spruce needle, inse",4,unclear what the complete material is
Carbonized twigs and wood frag,4,"weighted towards wood (between 2=twigs, 5=wood)"
Carex,2,
Carex - gyttja,5,
Carex peat,5,
Carex with Carex peat,5,
Carex-Sphagnum peat,5,
Castoroides ohioensis bone collagen,5,
cedar type wood,5,
Cellulose,2,
Cervalces scotti bone,6,
Cervalces scotti bone collagen,5,
Cervidae bone,6,
Cervus bone,6,
Cervus canadensis bone,6,
cf. Quercus leaf and twig,2,
Chalk with shells,6,
Charcoal,5,
charcoal,5,
Charcoal (25 mg),5,
Charcoal and 1 Larix needle,4,"weighted towards charcoal (between 2=needle, 5=charcoal)"
charcoal and Schoenoplectus seeds,4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
charcoal and wood,5,
charcoal flakes,5,
charcoal fragments,5,
"Charcoal, 1 Cyperaceae seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"charcoal, 1 Schoenoplectus seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"Charcoal, leaf fragment",4,"weighted towards charcoal (between 2=leaf, 5=charcoal)"
"Charcoal, picea needle",4,"weighted towards charcoal (between 2=needle, 5=charcoal)"
"charcoal, Poaceae seed, Cyperaceae seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"charcoal, Schoenoplectus seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"charcoal, Schoenoplectus seed, Chenopodium seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"charcoal, Typha seed",4,"weighted towards charcoal (between 2=seed, 5=charcoal)"
"charcoal, wood",5,
"charcoal, wood, leaf",4,"weighted towards wood/charcoal (between 2=leaf, 5=charcoal/wood)"
Charcoal; wood; leaf,4,"weighted towards wood/charcoal (between 2=leaf, 5=charcoal/wood)"
charred bone,6,
charred grass,2,
charred Juniperus wood,5,
Charred macrofossils,5,no information on which type of macrofossil
Charred material,5,
"Charred material, bark",5,
"Charred material, twig",3,"Penalized one rank for ""charred material"""
charred plant matter,3,
charred wood,5,
Chenopod seeds,2,
Chenopodium seeds,2,
clay,5,
Clay,5,
clay gyttja,5,
Clay gyttja,5,
clay gyttya,5,
Clay mud,5,
Clay w/ fine organic detritus,5,
Clay with fen peat,5,
Clay with humus,5,
Clay with low organic content. Almost no carbonate.,5,
clay with organic traces from 5 m below shell layer.,5,
Clay with plant remains,5,
clay-gyttja,5,
clay-silt fine-detritus gyttja,5,
clay/gyttja,5,
Clayey,5,
clayey copropel,5,
clayey fine sand,5,
Clayey gyttja,5,
clayey gyttja,5,
Clayey gyttja lower limit,5,
Clayey gyttja upper limit,5,
clayey medium sand,5,
clayey mud,5,
clayey organic lake sediments,5,
clayey peat,5,
Clayey peat,5,
clayey sandy silt,5,
clayey silt,5,
clayey silt with macrofossils,5,
Clayey-gyttja,5,
clayish fine sand,5,
Clays of low organic content. Almost no carbonate.,5,
Clethrionomys gapperi bone amino acid,5,
coarse detritus gyttja,5,
Coarse detritus gyttja,5,
Coarse detritus mud,5,
coarse sand and plant frags,5,
collagen from eight partial thoracic vertebrae from a single individual of Symbos cavifons,5,
compressed peat,5,
Conifer charcoal,5,
"Conifer cone bract, bark",3,"Weighted towards bark (between 2=bract, 3=bark)"
"Conifer cone scales, bark",3,"Weighted towards bark (between 2=scales, 3=bark)"
conifer needle fragments,2,
Conifer needles,2,
conifer needles,2,
Conifer twig,2,
Conifer twigs,2,
conifer wood,5,
conifer-wood fragment,5,
copropel,5,
copropelic moss peat,5,
copropelic silty clay,5,
Coquilles,6,
core 180-1,6,
core 180-2,6,
core 180-3,6,
Cornus drummondii seed,2,
course detritus gyttja,5,
course gyttja,5,
course Sphagnum peat,5,
course-detritus gyttja,5,
Cyperaceae achenes,2,
Cyperaceae seed,2,
Cyperaceae seeds,2,
Daphnia eggs,5,uncertain about hardwater contamination?
Daphnia eggs;aqutc plant frags,5,uncertain about hardwater contamination? Ranked between eggs (5) and aquatic plants (6)
Dark brown detritus peat,5,
dark brown dy,5,
dark brown humus-rich gyttja,5,
Dark clay,5,
dark gray organic silt,5,
dark gray silt with rootlets,5,
Dark gray soil zone with finely divided organic matter. Organic carbon: 1.94%; CaCO3: 1.68%.,5,
dark gray to black silty clay,5,
Dark gyttja,5,
dark olive clay,5,
dark peat,5,
Dark sediment,5,
Darkish sands with pale layer. Almost no carbonate.,5,
Decalcified sediment,5,
Deciduous leaf,2,
deciduous wood,5,
decomposed peat,5,
detrital gyttja,5,
detrital mollusc shell frags,6,
detrital peat,5,
detritus gyttja,5,
Detritus gyttja,5,
"detritus gyttja, wood frags",5,
detritus mud,5,
Detritus mud,5,
Detritus mud with wood,5,
detritus peat,5,
Detritus peat,5,
Detritus with clay,5,
Detritus with kaolin + gravel,5,
Detritus with sand and silt,5,
Detritus with woody fragments,5,
Dichelyma capillaceum,6,
Dicrostonyx bone amino acid,5,
Drepanocladus,6,
Drepanocladus cf. vernucosus,6,
Drepanocladus crassicostatus,6,
Drepanocladus/Calliergon,6,
Dryas and salix leaves,2,
dung,2,
Duplicated run on sample# 1,5,material not specified
elk bone collagen,5,
Elphidium,5,uncertain material; assigned 5 as default
Equus bone,6,
Equus bone amino acid,5,
Equus bone apatite/carbonate,6,
Equus hoof,6,
Equus occidentalis bone amino acid,5,
Erethizon dorsatum dung,2,
Eriophorum-Sphagnum peat,5,
Eriophorum-Sphagnum-woody peat,5,
Eriophorum-woody peat,5,
feature or structure,5,uncertain material; assigned 5 as default
Fen,5,
Fen peat + organic rich sand,5,
ferrous gyttja,5,
fibrous artifact,5,uncertain material; assigned 5 as default
fibrous gyttja,5,
Fibrous peat,5,
fibrous peat,5,
fibrous peat with wood frags,5,
Fibrous sedge peat,5,
fibrous sedge peat,5,
Fine aragonite pellets,5,
Fine detrital sapropel,5,
fine detritus gyttja,5,
Fine detritus gyttja,5,
fine detritus mud,5,
Fine detritus mud,5,
"fine detritus mud, gray silt",5,
Fine detritus with macros,4,weighted between macros and detritus (5)
Fine detritus wood,5,
Fine fraction of reed-swamp,5,
fine gyttja,5,
Fine gyttja,5,
Fine organic detritus w/ clay,5,
Fine particulate peat fraction,5,
Fine particule of peat,5,
fine sand,5,
fine sand/organic clayey silt,5,
fine-detritus gyttja,5,
"fine-grained peat, org clay",5,
Finely divided organic matter in zone affected by weak pedogenesis. Organic carbon: 1.45%; CaCO3: 0.41%.,5,
flocculent organic gyttja,5,
Fluid gyttja,5,
fossil Sphagnum peat,5,
fossil tooth,5,
"Four charred spruce needle fragments, four conifer seed wing fragments, three birth nutlets",2,
fragment of Betula leaf,2,
fragmented mollusc shells,6,
Fraxinus nigra wood,5,
"Ga2, Ag2, Dh+, Dg+",5,
"Ga2, Ld2, Lc+, Ag+",5,
gelatin from KOH-extracted collagen from Dasypus bellus bone,3,
gelatin from KOH-extracted collagen from Felis onca bone,3,
gelatin from KOH-extracted collagen from Mammut americanum bone,3,
gelatin from KOH-extracted collagen from Platygonus compressus bone,3,
