id,pub.type,year,citation,chron,dsid
283,Legacy,1990,"Gordon, D.L. 1990. Prehistoric occupations at Lake Temagami. Pages 152-183 in M. Bray and A. Thomson, editors. Temagami: a debate on wilderness. Dunburn Press, Toronto, Ontario, Canada.",Radiocarbon years BP,7
147,Legacy,1975,"Jordan, R.H. 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern maritime Archaic. Arctic Anthropology 12:92-116.",Calendar years BP,24
118,Legacy,1978,"Lamb, H.F. 1978. Post-glacial vegetation change in southeastern Labrador. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",Radiocarbon years BP,25
147,Legacy,1975,"Jordan, R.H. 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern maritime Archaic. Arctic Anthropology 12:92-116.",Radiocarbon years BP,27
657,Legacy,1995,"Szeicz, J.M., G.M. MacDonald, and A. Duk-Rodkin. 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology 113:351-371.",Radiocarbon years BP,206
148,Legacy,1981,"Labelle, C., and P.J.H. Richard. 1981. Végétation tardiglaciaire et postglaciaire au sud-est du Parc des Laurentides, Québec. Géographie physique et Quaternaire 35:345-359.",Radiocarbon years BP,209
210,Legacy,1981,"Gauthier, R. 1981. Histoire de la colonisation végétale postglaciaire des Montérégiennes: deux sites du mont Saint-Bruno. Thesis. Université de Montréal, Montréal, Québec, Canada.",Radiocarbon years BP,219
963,Legacy,1985,"Hyvärinen, H. 1985. Holocene pollen stratigraphy of Baird Inlet, east-central Ellesmere Island, arctic Canada. Boreas 14:19-32.",Calibrated radiocarbon years BP,224
278,Legacy,1984,"McAndrews, J.H. 1984. Late Quaternary vegetation history of Rice Lake, Ontario, and the McIntyre Archaeological Site. Archaeological Survey of Canada Paper 126:161-189..",Radiocarbon years BP,235
170,Legacy,1987,"Bennett, K.D. 1987. Holocene history of forest trees in southern Ontario. Canadian Journal of Botany 65:1792-1801.",Calendar years BP,238
293,Legacy,1975,"Rowe, J.S., D. Spittlehouse, E. Johnson, and M. Jasieniuk. 1975. Fire studies in the Upper Mackenzie Valley and adjacent precambrian uplands. Department of Indian and Northern Affairs, Ottawa, Canada. INA Publication No. QS-8045-000-EE-A1.",Radiocarbon years BP,244
291,Legacy,1992,"Gordon, D.L., and J.H. McAndrews. 1992. Field testing a model of paleohydrology for prehistoric site prediction at Lake Temagami, northeastern Ontario. Annual Archaeological Report, Ontario (new series) 3:80-86.",Radiocarbon years BP,245
657,Legacy,1995,"Szeicz, J.M., G.M. MacDonald, and A. Duk-Rodkin. 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology 113:351-371.",Radiocarbon years BP,253
100,Journal Article,1979,"Richard, P.J.H. 1979. Contribution à l'histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec. Géographie physique et Quaternaire 33(1):93-112. [DOI: 10.7202/1000324ar]",Radiocarbon years BP,258
226,Legacy,1992,"Gajewski, K., and S. Garralla. 1992. Holocene vegetation histories from three sites in the tundra of northwestern Quebec, Canada. Arctic and Alpine Research 24:329-336.",Radiocarbon years BP,3471
961,Legacy,2000,"Gajewski, K., R.J. Mott, J.C. Ritchie, and K. Hadden. 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany 78:430-436.",Calibrated radiocarbon years BP,267
961,Legacy,2000,"Gajewski, K., R.J. Mott, J.C. Ritchie, and K. Hadden. 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany 78:430-436.",Calibrated radiocarbon years BP,268
961,Legacy,2000,"Gajewski, K., R.J. Mott, J.C. Ritchie, and K. Hadden. 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany 78:430-436.",Calibrated radiocarbon years BP,269
333,Legacy,1983,"Blake, W., Jr. 1983. Geological Survey of Canada radiocarbon dates XXIII. Geological Survey of Canada Paper 83-7:5..",Radiocarbon years BP,276
438,Journal Article,1993,"Morris, T.F., J.H. McAndrews, and K.L. Seymour. 1993. Glacial Lake Arkona - Whittlesey transition near Leamington, Ontario: geology, plant, and muskox fossils. Canadian Journal of Earth Science 30:2436-2447.",Radiocarbon years BP,300
955,Legacy,1979,"White, J.M., R.W. Mathewes, and W.H. Mathews. 1979. Radiocarbon dates from Boone Lake and their relation to the 'ice-free corridor' in the Peace River district of Alberta, Canada. Canadian Journal of Earth Sciences 16:1870-1874.",Calibrated radiocarbon years BP,302
544,Legacy,1982,"Lamb, H.F. 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Dissertation. University of Cambridge, Cambridge, England.",Radiocarbon years BP,303
229,Legacy,1986,"Lortie, G., and P.J.H. Richard. 1986. Late-glacial diatom and pollen stratigraphy from Lake Boucané, southeastern Québec, Canada. Pages 687-697 in M. Ricard, editor. Proceedings of the 8th International Symposium on Living and Fossil Diatoms, Paris, August 27 - September 1, 1984.",Radiocarbon years BP,306
44,Master's Thesis,1981,"Stravers, L.K.S. 1981. Palynology and deglaciation history of the central Labrador-Ungava Peninsula. Master's thesis. University of Colorado, Boulder, Colorado, USA.",Radiocarbon years BP,307
101,Legacy,1982,"Richard, P.J.H., A.C. Larouche, and M.A. Bouchard. 1982. Age de la déglaciation finale et histoire postglaciaire de la végétation dans la partie centrale du Nouveau-Québec. Géographie physique et Quaternaire 36:63-90.",Radiocarbon years BP,311
211,Legacy,1973,"Richard, P.J.H. 1973. Histoire postglaciaire comparée de la végétation dans deux localités au sud de la ville de Québec. Le Naturaliste canadien 100:591-603.",Radiocarbon years BP,326
754,Journal Article,1995,"Cwynar, L.C., and R.W. Spear. 1995. Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP. Géographie Physique et Quaternaire 49(1):29-35. [DOI: 10.7202/033027ar]",Calendar years BP,336
144,Legacy,1977,"Richard, P.J.H. 1977. Histoire post-wisconsinienne de la végétation du Québec méridional par l'analyse pollinique. Service de la recherche, Direction générale des forêts, Ministère des Terres et Forêts du Québec. Publications et rapports divers. Tome 1, xxiv + 312 p.; tome 2, 142 p.",Radiocarbon years BP,337
230,Legacy,1992,"Jetté, H., and P.J.H. Richard. 1992. Contribution à l'histoire postglaciaire de la végétation en Gaspésie méridionale, Québec. Géographie physique et Quaternaire 46:273-284.",Radiocarbon years BP,339
544,Legacy,1982,"Lamb, H.F. 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Dissertation. University of Cambridge, Cambridge, England.",Radiocarbon years BP,341
492,Journal Article,1993,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. A previously unrecognized late-glacial cold event in eastern North America. Nature 361:623-626. [DOI: 10.1038/361623a0]",Radiocarbon years BP,361
100,Journal Article,1979,"Richard, P.J.H. 1979. Contribution à l'histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec. Géographie physique et Quaternaire 33(1):93-112. [DOI: 10.7202/1000324ar]",Radiocarbon years BP,371
100,Journal Article,1979,"Richard, P.J.H. 1979. Contribution à l'histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec. Géographie physique et Quaternaire 33(1):93-112. [DOI: 10.7202/1000324ar]",Radiocarbon years BP,373
189,Legacy,1985,"MacDonald, G.M., and L.C. Cwynar. 1985. A fossil pollen based reconstruction of the late Quaternary history of lodgepole pine (Pinus contorta ssp. latifolia) in the western interior of Canada. Canadian Journal of Forest Research 15:1039-1044.",Radiocarbon years BP,381
74,Authored Book,1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",Radiocarbon years BP,493
962,Doctoral Dissertation,1986,"King, G.A. 1986. Deglaciation and vegetation history of western Labrador and adjacent Québec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",Calibrated radiocarbon years BP,496
460,Authored Report,1979,"Lowdon, J.A., and W. Blake, Jr. 1979. Geological Survey of Canada radiocarbon dates XIX. Paper 79-7, Geological Survey of Canada.",Radiocarbon years BP,500
336,Legacy,1986,"Blake, W., Jr. 1986. Geological Survey of Canada radiocarbon dates XXV. Geological Survey of Canada Paper 85-7:2-3.",Radiocarbon years BP,501
141,Legacy,1975,"Nichols, H. 1975. Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada. Occasional Paper 15. Institute of Arctic and Alpine Research, University of Colorado, Boulder, Colorado, USA.",Radiocarbon years BP,507
231,Legacy,1981,"Labelle, C., and P.J.H. Richard. 1981. Données pollenanalytiques de l'axe Mont-Saint-Pierre - Mont Jacques-Cartier, en Gaspésie. Pages 137-150 in J.T. Gray (editor). Les zones d'altération et le problème des limites glaciaires. AQQUA et CANQUA, Excursion et colloque en Gaspésie, Québec, 23-29 août 1981.",Radiocarbon years BP,508
214,Legacy,1982,"Comtois, P.G. 1982. Histoire holocène du climat et de la végétation à Lanoraie (Québec). Canadian Journal of Earth Science 19:1938-1952.",Radiocarbon years BP,510
