id,handle,type,depth_ps,geo_age_ps,geo_age_lb,geo_age_ub,set_age_default,x,y,set_year
29,ALLIE,Presettlement_paleon,50,109.10956775,39.44294285,206.6805592125,149,109713.936799965,977523.885962526,95
223,BADMED,Presettlement_paleon,20,45.937645,-1.52804675,132.77705475,98,83027.2967177605,1242568.51574078,76
241,BBASS,Presettlement_paleon,10,16.38617,-15.854421,110.99341,140,195674.921407681,1114636.89343597,80
249,BECKMAN,Presettlement_paleon,83,82.944535,0.219596750000005,199.1518605,81,225860.925100248,1031871.05543425,94
3062,BECKMNBG,Presettlement_paleon,35,74.315432,5.2807631,175.850043,104,225860.925100248,1031871.05543425,94
272,BIGJOHN,Presettlement_paleon,40,48.304800247993,-23.4297421095271,167.642153024815,695,122022.866251561,1285729.27075439,60
275,BILLYS,Presettlement_paleon,220,65.0782250638731,-13.7614550663091,190.537635890685,220,133102.2543216,1139174.43738222,80
280,BLANDIN,Presettlement_paleon,41,79.07959,11.892497725,175.79852725,143,212989.641081798,1225260.94592028,81
296,BOBLAKE,Presettlement_paleon,20,51.1724,-0.608405500000001,148.39151625,98,285607.628979334,1160214.97986788,92
298,BOGD,Presettlement_paleon,70,87.08496922487,11.0061052,202.534025500004,467,101479.189332516,1245816.98709436,71
305,BOSSUOT,Presettlement_paleon,60,109.18616,29.779286,231.37427,133,166712.634737809,912781.837383831,95
314,BROWNSBY,Presettlement_paleon,59.5,62.2799755,30.6533565,109.15259788,85,191176.023829168,983818.124127731,95
325,BURNTSDE,Presettlement_paleon,20,41.4003425,-24.72251175,131.731945625,142,348306.899741792,1297713.69156685,69
334,CAMPBELL,Presettlement_paleon,50,101.79517,18.551302,219.0454,113,191338.406333718,955686.364030169,96
352,CEDARBLK,Presettlement_paleon,190,98.380365,13.500209375,222.9147791,442,224593.2761041,1030470.34874412,94
382,CINDY,Presettlement_paleon,20,43.1474875,-3.954170625,131.631950875,98,118146.606992935,1242767.28166037,72
515,MNGRCL,Presettlement_paleon,40,87.193075,22.8364037,184.348017,105,12403.1964222655,1100005.35355526,82
521,CRAZY,Presettlement_paleon,40,85.12733,23.467195375,179.03026875,212,58745.1608008107,1252912.7176246,75
545,DALTON,Presettlement_paleon,40,78.820955,8.8024625,191.1854775,94,27639.5488726582,1144129.65510178,81
717,DOGFISH,Presettlement_paleon,25,46.49865,-18.83827575,137.814837,65,337509.837343369,1327924.4270101,55
781,EASTTWIN,Presettlement_paleon,30,73.130115,9.21718285,164.260388,295,199372.362344846,1024929.03742438,95
786,EGGERT,Presettlement_paleon,40,94.137475,26.7628176,187.59337,122,178418.072165914,930743.784850951,95
817,FAITH,Presettlement_paleon,30,68.4113675,10.236074425,159.693763,87,33497.0637751347,1267069.0721991,78
822,FARQUAR,Presettlement_paleon,50,109.25157,38.3102889375,207.579603125,113,218186.64208869,958014.902012345,96
