"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"ALLIE","Lake Allie",29,-12,478,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"ALMORA1","Almora Lake",30,3716,11290,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"ANDERSLK","Anderson Lake",202,10058,10742,"Radiocarbon years BP",TRUE,10350,10800,NA,NA,FALSE
"ANDREE","Andree Bog",204,8970,11333,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"BADMED","Bad Medicine Lake",223,-9,223,"Radiocarbon years BP",TRUE,-15,76,NA,NA,FALSE
"BBASS","Black Bass Lake",241,0,1994,"Radiocarbon years BP",TRUE,-15,80,NA,NA,FALSE
"BECKMAN","Beckman Lake",249,0,10412,"Radiocarbon years BP",TRUE,0,94,NA,NA,FALSE
"BECKMNBG","Beckman Lake",3062,-29,429,"Radiocarbon years BP",TRUE,-29,94,NA,NA,FALSE
"BIGJOHN","Big John Pond",272,-31,5374,"Radiocarbon years BP",TRUE,-31,3310,NA,NA,FALSE
"BILLYS","Billy's Lake",275,-24,10099,"Radiocarbon years BP",TRUE,-24,9910,NA,NA,FALSE
"BLANDIN","Blandin Pond",280,-28,696,"Radiocarbon years BP",TRUE,-32,81,NA,NA,FALSE
"BLKHOOF","Blackhoof Site",282,9750,10795,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"BOBLAKE","Bob Lake",296,-9,495,"Radiocarbon years BP",TRUE,-15,92,NA,NA,FALSE
"BOGD","Bog D Pond",298,-10,10296,"Radiocarbon years BP",TRUE,-13,8560,NA,NA,FALSE
"BOSSUOT","Bossuot Lake",305,-13,467,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"BROWNSBY","Brown's Bay, Lake Minnetonka",314,-32,584,"Calendar years BP",FALSE,NA,NA,NA,NA,FALSE
