id sitename handle lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 340.953809091711 266 86.5 5 0 53 6 2 8 31 3 41 281 6 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 372.956046921771 300 88.5 1 0 52 9 4 6 37 5 20 343 5 4
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 422.377119440559 350 91.5 3 0 72 7 3 5 46 3 32 358 6 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 471.618008901076 400 94.5 5 0 61 4 2 7 47 3 37 395 5 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 502.899514498055 434 96.5 2 1 87 2 8 9 53 3 27 509 4 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 534.181020095034 467 98.5 4 1 98 8 10 6 58 1 37 441 7 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 565.617796449651 501 100.5 5 1 106 7 3 7 69 1 38 405 5 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 612.850596360395 551 103.5 6 0 59 3 3 9 43 0 15 326 1 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 659.40064894476 601 106.5 5 0 77 8 2 2 73 1 41 390 5 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 705.936938028965 652 109.5 4 0 75 5 3 6 66 5 40 411 8 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 753.087156938746 702 112.5 3 0 77 7 5 11 82 2 25 422 6 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 801.869432220714 752 115.5 5 0 70 6 3 4 79 3 35 330 8 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 835.478986656816 786 117.5 4 0 74 5 5 3 77 3 55 358 9 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 885.177606474462 836 120.5 2 0 73 7 3 1 63 2 28 357 7 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 934.160514455599 886 123.5 3 0 41 3 4 2 52 1 31 227 2 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 983.182876821365 936 126.5 1 0 50 2 0 0 49 2 25 285 2 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1032.29963373725 987 129.5 4 1 78 8 1 7 68 2 51 324 4 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1081.84890901913 1037 132.5 4 0 63 10 3 4 27 3 36 278 4 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1129.42683618793 1087 135.5 3 0 68 5 2 2 62 1 40 246 5 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1159.83122222509 1117 137.5 3 0 70 7 0 3 82 3 35 337 7 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1202.12156217793 1163 140.5 0 0 66 7 0 4 95 2 35 337 3 2
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1241.09566302787 1208 143.5 2 0 47 5 1 6 55 0 16 231 4 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1280.5280969 1253 146.5 1 0 73 6 0 2 68 2 36 301 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1320.12576765145 1299 149.5 6 0 117 7 1 2 53 1 54 212 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1360.09128977734 1344 152.5 1 0 94 2 0 0 45 3 51 174 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1386.63263378068 1374 154.5 1 0 61 5 0 2 81 1 41 187 5 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1399.74979966148 1389 155.5 0 0 30 3 0 0 44 1 23 79 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1412.86696554228 1405 156.5 3 0 78 9 1 0 170 1 41 118 2 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1425.98413142307 1420 157.5 4 0 73 5 2 1 187 2 36 140 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1469.56539751367 1465 160.5 4 0 78 9 0 3 137 1 39 159 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1517.37643205247 1514 163.5 5 0 54 6 0 4 99 0 34 95 2 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1571.33756802613 1562 166.5 2 0 42 11 0 3 122 2 8 173 4 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1626.75405188595 1611 169.5 3 0 66 11 0 2 102 1 37 168 2 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1683.29717374171 1659 172.5 2 0 106 9 1 4 89 1 44 169 8 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1739.31863637416 1708 175.5 5 0 78 12 0 2 55 2 54 180 6 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1776.31850531359 1740 177.5 2 0 70 9 1 4 95 0 26 154 0 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1831.85137532454 1788 180.5 5 0 67 11 1 3 88 1 50 187 2 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1887.4173119373 1837 183.5 5 0 56 10 0 4 58 2 40 156 0 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1942.86674239178 1885 186.5 3 0 57 9 2 6 59 3 41 210 5 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 1998.39990788708 1934 189.5 4 0 91 5 0 3 78 2 30 195 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 2054.46825474472 1982 192.5 7 0 80 12 1 3 65 1 37 201 2 1
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 2109.8421209264 2031 195.5 7 1 105 6 1 8 66 1 50 153 1 0
CLH2 Ferr01X FERRY 46.013 -92.125 WI 292 Radiocarbon 2164.5215064321 2079 198.5 7 0 94 8 0 3 64 3 50 161 4 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 75.4303390382322 76 16.5 10 1 86 8 3 7 56 1 36 269 8 4
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 96.5167926190295 95 17.5 12 5 77 6 0 2 41 1 31 192 6 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 138.689699780624 133 19.5 6 0 50 6 2 1 42 0 20 126 0 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 219.35213772422 210 23.5 10 0 63 4 1 5 37 1 27 128 1 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 278.867251146976 267 26.5 4 0 50 6 0 2 30 0 25 146 1 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 320.796674548397 305 28.5 6 0 43 3 1 7 29 0 32 134 1 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 403.299057909367 381 32.5 4 0 33 4 1 3 25 0 14 151 2 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 483.90432453539 458 36.5 6 0 37 2 0 4 38 0 22 181 4 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 546.267466762808 515 39.5 8 0 57 3 1 4 35 0 22 116 7 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 630.739896060459 600 44.5 2 0 30 2 2 0 34 0 14 160 2 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 684.486949046144 655 48.5 6 0 52 5 1 1 57 3 24 283 2 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 696.850194551742 669 49.5 2 0 17 1 1 3 31 2 27 153 4 2
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 733.954844298579 710 52.5 2 0 37 6 0 7 29 0 20 148 2 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 783.426039695641 765 56.5 2 0 33 3 0 0 18 1 18 179 2 2
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 820.416271239853 807 59.5 4 0 19 0 1 2 14 0 26 128 3 1
